review_id,customer_id,product_id,rating,comment,review_date
1,405,419,4,Absolutely love it! Exceeded my expectations.,2023-07-27
2,46,455,3,"Good product overall, but has some minor issues.",2023-01-20
3,459,941,2,Poor quality and doesn't work as described.,2023-11-06
4,211,1117,1,Very disappointed with this purchase.,2023-07-11
5,861,414,5,Perfect in every way. Worth every penny!,2023-09-13
6,238,524,5,Absolutely love it! Exceeded my expectations.,2023-05-04
7,279,404,2,Poor quality and doesn't work as described.,2023-08-13
8,899,1039,4,Perfect in every way. Worth every penny!,2023-07-01
9,304,1107,4,Absolutely love it! Exceeded my expectations.,2023-03-06
10,14,847,4,Highly recommend! Excellent quality.,2023-03-16
11,107,37,2,Poor quality and doesn't work as described.,2023-04-19
12,516,972,5,Highly recommend! Excellent quality.,2023-02-16
13,119,468,4,Highly recommend! Excellent quality.,2023-02-05
14,187,393,4,Absolutely love it! Exceeded my expectations.,2023-09-22
15,888,938,4,Absolutely love it! Exceeded my expectations.,2023-04-28
16,222,757,3,"Works as expected, nothing special though.",2023-04-28
17,595,409,3,"Good product overall, but has some minor issues.",2023-08-20
18,328,1057,1,Very disappointed with this purchase.,2023-11-14
19,608,928,4,Highly recommend! Excellent quality.,2023-05-17
20,702,344,3,"Works as expected, nothing special though.",2023-07-10
21,99,424,3,"Good product overall, but has some minor issues.",2023-10-13
22,721,73,2,Very disappointed with this purchase.,2023-12-02
23,472,1114,5,Highly recommend! Excellent quality.,2023-12-07
24,821,560,5,Absolutely love it! Exceeded my expectations.,2023-11-26
25,876,257,4,Perfect in every way. Worth every penny!,2023-11-24
26,328,306,3,"Good product overall, but has some minor issues.",2023-10-05
27,689,176,4,Highly recommend! Excellent quality.,2023-08-22
28,750,1006,5,Absolutely love it! Exceeded my expectations.,2023-05-16
29,352,2,3,"Good product overall, but has some minor issues.",2023-09-26
30,522,1174,3,"Good product overall, but has some minor issues.",2023-12-14
31,502,340,4,Highly recommend! Excellent quality.,2023-11-16
32,9,217,2,Very disappointed with this purchase.,2023-05-31
33,217,1171,4,Absolutely love it! Exceeded my expectations.,2023-02-07
34,509,240,4,Highly recommend! Excellent quality.,2023-11-06
35,573,283,4,Highly recommend! Excellent quality.,2023-10-31
36,603,104,3,"Good product overall, but has some minor issues.",2023-03-19
37,725,918,3,"Good product overall, but has some minor issues.",2023-07-22
38,881,1013,3,"Works as expected, nothing special though.",2023-12-21
39,467,166,4,Absolutely love it! Exceeded my expectations.,2023-09-23
40,630,870,5,Absolutely love it! Exceeded my expectations.,2023-04-21
41,897,741,3,"Works as expected, nothing special though.",2023-10-21
42,587,1146,5,Perfect in every way. Worth every penny!,2023-08-11
43,547,1051,5,Absolutely love it! Exceeded my expectations.,2023-12-09
44,416,270,5,Perfect in every way. Worth every penny!,2023-04-14
45,712,354,5,Highly recommend! Excellent quality.,2023-08-30
46,93,363,5,Absolutely love it! Exceeded my expectations.,2023-03-20
47,897,938,4,Perfect in every way. Worth every penny!,2023-11-28
48,482,589,3,"Works as expected, nothing special though.",2023-07-26
49,384,19,5,Highly recommend! Excellent quality.,2023-11-11
50,365,438,1,Very disappointed with this purchase.,2023-05-09
51,210,482,3,"Works as expected, nothing special though.",2023-05-30
52,25,356,4,Highly recommend! Excellent quality.,2023-08-20
53,687,340,4,Highly recommend! Excellent quality.,2023-07-16
54,662,573,3,"Works as expected, nothing special though.",2023-01-16
55,262,82,2,Very disappointed with this purchase.,2023-03-08
56,652,441,3,"Good product overall, but has some minor issues.",2023-05-26
57,901,1095,1,Very disappointed with this purchase.,2023-02-04
58,750,687,2,Poor quality and doesn't work as described.,2023-05-19
59,600,888,4,Highly recommend! Excellent quality.,2023-07-13
60,778,42,4,Highly recommend! Excellent quality.,2023-06-26
61,539,34,5,Perfect in every way. Worth every penny!,2023-06-13
62,735,1146,2,Poor quality and doesn't work as described.,2023-09-20
63,591,124,2,Very disappointed with this purchase.,2023-08-04
64,644,538,3,"Good product overall, but has some minor issues.",2023-06-18
65,210,867,4,Highly recommend! Excellent quality.,2023-12-17
66,871,1038,4,Absolutely love it! Exceeded my expectations.,2023-08-01
67,333,34,5,Perfect in every way. Worth every penny!,2023-09-07
68,364,26,4,Highly recommend! Excellent quality.,2023-04-29
69,793,756,4,Highly recommend! Excellent quality.,2023-06-10
70,134,364,2,Poor quality and doesn't work as described.,2023-06-03
71,601,380,3,"Good product overall, but has some minor issues.",2023-11-25
72,136,360,5,Highly recommend! Excellent quality.,2023-05-29
73,592,982,3,"Good product overall, but has some minor issues.",2023-01-19
74,105,967,3,"Works as expected, nothing special though.",2023-08-02
75,610,1156,4,Absolutely love it! Exceeded my expectations.,2023-04-04
76,97,66,4,Absolutely love it! Exceeded my expectations.,2023-08-21
77,281,552,4,Perfect in every way. Worth every penny!,2023-11-11
78,246,1081,4,Perfect in every way. Worth every penny!,2023-05-29
79,315,634,4,Perfect in every way. Worth every penny!,2023-07-03
80,739,179,5,Absolutely love it! Exceeded my expectations.,2023-05-28
81,527,1026,3,"Good product overall, but has some minor issues.",2023-08-04
82,442,1,5,Highly recommend! Excellent quality.,2023-12-28
83,906,694,3,"Works as expected, nothing special though.",2023-12-16
84,253,164,4,Highly recommend! Excellent quality.,2023-01-18
85,442,962,3,"Good product overall, but has some minor issues.",2023-02-05
86,319,407,5,Absolutely love it! Exceeded my expectations.,2023-08-02
87,298,663,3,"Works as expected, nothing special though.",2023-10-14
88,492,338,3,"Good product overall, but has some minor issues.",2023-01-11
89,102,1060,3,"Works as expected, nothing special though.",2023-10-22
90,223,489,4,Absolutely love it! Exceeded my expectations.,2023-05-07
