product_id,name,category_id,brand,price,stock_quantity
1,TV Max,1,Apple,112.74,235
2,Dress,13,H&M,23.33,796
3,Seamless encompassing complexity,5,Fields Group,435.66,270
4,Balanced actuating knowledgebase,28,Beck Ltd,441.94,145
5,Enhanced exuding help-desk,5,Griffin Inc,164.8,237
6,Total secondary secured line,15,Roberts-Brown,321.43,318
7,Reverse-engineered bottom-line conglomeration,15,"Rowe, King and Diaz",151.46,749
8,Ameliorated zero-defect toolset,24,"Clark, Ward and Ortega",199.01,475
9,Multi-lateral bi-directional moratorium,21,"Mercado, Kelly and Townsend",78.85,561
10,Headphones,1,Sony,59.01,28
11,Exclusive disintermediate task-force,28,"Hoffman, Conway and Fuller",234.38,783
12,Advanced transitional focus group,16,"Flores, Wilson and Wilson",206.64,171
13,Laptop Max,1,LG,99.79,150
14,Optimized homogeneous collaboration,26,Lambert-Watson,351.46,429
15,Devolved hybrid throughput,15,Johnson-Morgan,135.59,883
16,Dress,27,H&M,406.96,513
17,Multi-lateral well-modulated complexity,19,"Stokes, Le and Gomez",146.13,282
18,Laptop Max,12,Sony,404.86,783
19,Headphones Ultra,18,LG,310.03,810
20,Mandatory background moratorium,21,Bailey Inc,153.48,2
21,Grass-roots web-enabled open system,14,"Jennings, Pruitt and Glass",30.55,467
22,Switchable value-added portal,8,"Pacheco, Lee and Miller",308.02,785
23,Expanded motivating installation,6,Pollard-Carpenter,473.78,948
24,Jacket,2,Adidas,106.43,996
25,Quality-focused needs-based infrastructure,10,Alexander-Thompson,254.55,940
26,Total interactive software,19,"Gilbert, Nelson and Wolf",321.08,336
27,Polarized grid-enabled collaboration,10,Castillo-Lopez,223.64,861
28,T-Shirt,2,Nike,443.93,76
29,Jacket,2,Levi's,315.2,686
30,Enterprise-wide dedicated data-warehouse,17,Simmons-Jimenez,292.13,531
31,Organized tertiary middleware,8,Daniel Inc,50.19,624
32,Switchable global frame,24,Alvarez-Smith,38.88,253
33,Centralized disintermediate project,16,Willis Inc,264.92,109
34,Streamlined asynchronous groupware,5,Hart-Stevens,21.94,78
35,Vision-oriented methodical function,24,"Smith, Sanchez and Miller",265.64,637
36,Streamlined global definition,17,"Weiss, Valdez and Vaughn",61.56,60
37,Configurable modular protocol,3,Lane and Sons,416.77,951
38,Laptop Ultra,11,Sony,33.9,766
39,Grass-roots scalable help-desk,16,Ross Group,353.72,309
40,Monitored tertiary emulation,26,Knox-Johnson,6.49,421
41,Ergonomic optimizing contingency,7,Hunter Inc,97.09,611
42,Innovative multimedia moderator,26,Mendoza-Evans,320.12,174
43,Horizontal executive infrastructure,25,Clay Group,336.62,802
44,Face-to-face intangible knowledgebase,14,Lambert-Peters,120.62,94
45,Jeans,13,H&M,460.71,640
46,Face-to-face mission-critical methodology,21,Neal-Thomas,278.57,378
47,User-friendly 4thgeneration middleware,22,Andrade-Williams,31.62,632
48,Synergistic zero tolerance standardization,9,"Phillips, Hensley and Mata",62.31,271
49,Right-sized exuding emulation,24,"Hayes, Kelley and Williams",175.4,821
50,Function-based impactful process improvement,25,Lucero-Krause,473.53,107
51,Laptop Ultra,11,Apple,17.9,417
52,Reverse-engineered real-time migration,26,Chase-Mendoza,347.04,497
53,Extended well-modulated service-desk,26,Burnett PLC,439.49,500
54,Jeans,13,Nike,113.37,78
55,Future-proofed exuding challenge,24,"Smith, Stein and Palmer",257.94,611
56,Smartphone Max,18,Apple,383.92,697
57,Fully-configurable motivating neural-net,6,Ortiz Group,457.65,991
58,Jacket,2,Nike,381.93,698
59,Virtual asymmetric customer loyalty,15,Mitchell-Gilbert,392.3,214
60,T-Shirt,2,Levi's,484.59,350
61,Object-based executive synergy,14,Gibson Ltd,473.86,332
62,TV Ultra,1,Samsung,293.37,845
63,Inverse bifurcated emulation,3,Daniels Group,167.9,695
64,Laptop Max,12,LG,303.28,714
65,Customizable executive moratorium,3,Thompson Group,82.17,737
66,Universal upward-trending encryption,14,"Brown, Archer and Torres",257.96,115
67,Diverse global implementation,14,Ward LLC,128.3,163
68,Persistent 3rdgeneration definition,24,Flores Ltd,238.29,275
69,Reactive transitional Internet solution,4,Roberts and Sons,435.04,722
70,Programmable disintermediate knowledge user,25,Vang-Murray,212.61,936
71,Intuitive optimal Graphical User Interface,15,Howell Ltd,43.7,824
72,Visionary interactive ability,21,Roberts PLC,324.38,270
73,Versatile optimizing adapter,16,Schmidt-Bell,34.67,791
74,Jacket,2,Levi's,215.39,240
75,TV Pro,11,Sony,430.37,17
76,Jacket,23,Adidas,302.09,611
77,Re-contextualized secondary process improvement,26,Jones Group,116.15,945
78,Headphones Max,12,LG,217.57,907
79,Adaptive upward-trending application,25,Dominguez PLC,456.87,23
80,T-Shirt,2,Adidas,356.03,699
81,Dress,27,Levi's,276.5,665
82,Jeans,27,Levi's,443.22,576
83,Jeans,27,Nike,15.74,251
84,Organized optimizing encoding,10,Hoffman-Murphy,165.64,840
85,Reduced incremental architecture,26,"Howell, Bullock and Perry",127.4,63
86,Optimized multi-state model,3,Munoz-Harrison,193.82,459
87,Profit-focused empowering collaboration,22,Murray-Gonzalez,470.01,388
88,Profit-focused modular leverage,3,Padilla LLC,329.82,41
89,Assimilated tertiary software,20,Wheeler LLC,422.17,420
90,Distributed encompassing function,19,Jones Ltd,277.58,816
91,Organic optimizing protocol,20,Shea Inc,432.33,280
92,Quality-focused solution-oriented complexity,8,Roth Group,21.44,615
93,Dress,23,Adidas,471.18,280
94,Quality-focused mission-critical time-frame,24,Sanders Ltd,424.5,580
95,Configurable modular monitoring,7,Roberts-Le,119.84,656
96,T-Shirt,2,Levi's,475.74,993
97,Devolved zero administration contingency,4,Mitchell-Page,385.14,709
98,TV Max,11,Sony,186.69,910
99,Exclusive even-keeled support,8,Braun LLC,238.94,861
100,TV,11,LG,115.41,770
101,Customizable explicit forecast,19,"Smith, James and Sullivan",312.82,380
102,Fundamental system-worthy portal,24,Campbell Ltd,79.24,81
103,Sharable user-facing adapter,19,Callahan-Poole,105.02,704
104,Front-line content-based firmware,26,Mann PLC,312.28,931
105,Virtual bifurcated Graphical User Interface,3,Hicks-James,305.09,495
106,Re-contextualized modular approach,16,Lara-Romero,27.13,188
107,Organized fault-tolerant attitude,28,Brown Group,458.61,672
108,Persevering even-keeled model,16,Bruce-Mcgrath,260.36,407
109,Integrated high-level artificial intelligence,20,Leonard-Gomez,364.98,470
110,Down-sized static customer loyalty,3,Moore LLC,148.84,386
111,Multi-channeled interactive Local Area Network,19,Russell and Sons,364.67,92
112,Laptop,11,Sony,273.56,867
113,T-Shirt,2,Nike,391.76,961
114,Re-engineered human-resource artificial intelligence,19,Johnson LLC,255.14,146
115,T-Shirt,2,H&M,23.22,768
116,Innovative tangible knowledgebase,16,Norris-Smith,412.44,772
117,Balanced non-volatile function,28,"Hensley, Barrett and Figueroa",39.95,762
118,Dress,27,H&M,44.84,460
119,Synergistic hybrid process improvement,19,Brown-Barton,65.57,252
120,TV Pro,12,LG,10.57,146
121,Pre-emptive logistical pricing structure,28,Lopez PLC,79.18,427
122,Upgradable 3rdgeneration implementation,22,Clark-Stevens,78.31,90
123,TV Ultra,11,Sony,318.51,566
124,Down-sized system-worthy strategy,26,"Taylor, Brooks and Mendez",465.59,803
125,Decentralized modular framework,28,"James, Mcintosh and Bradley",220.75,537
126,Headphones Ultra,11,LG,59.15,260
127,Laptop,18,LG,377.06,242
128,Inverse tangible infrastructure,16,Cunningham-Boyd,305.7,863
129,Reactive encompassing methodology,6,Meyer and Sons,164.28,553
130,TV Pro,1,Samsung,370.45,707
131,Fully-configurable local system engine,22,"Carr, Campbell and Simpson",489.09,828
132,Pre-emptive optimal capability,26,"Roberts, Ward and Lee",444.47,725
133,Integrated actuating array,15,"Richardson, Jenkins and Bates",157.55,324
134,Intuitive regional initiative,4,"Mcmillan, Irwin and Carlson",412.42,460
135,TV Pro,11,LG,429.04,16
136,Horizontal needs-based migration,25,"Carter, Mitchell and Campbell",282.13,547
137,Business-focused leadingedge access,4,Delgado-Cowan,287.56,622
138,Mandatory mobile capability,6,"Walker, Barron and Gibbs",496.78,691
139,Networked zero tolerance function,10,Davis and Sons,409.85,272
140,Compatible web-enabled support,28,Pollard-Wallace,394.14,545
141,TV Max,18,Sony,295.68,502
142,Laptop,1,LG,95.82,587
143,Future-proofed zero-defect synergy,9,Davies and Sons,213.55,242
144,Universal national utilization,6,"Robertson, Clark and Barnes",357.21,880
145,Multi-channeled logistical contingency,6,Ramos Group,280.02,315
146,Robust bottom-line website,16,Lane-Hoffman,353.36,18
147,Stand-alone cohesive projection,10,"Washington, Jimenez and Jones",270.54,586
148,Down-sized multi-state support,26,Weaver-Mcknight,445.51,435
149,Grass-roots multimedia Internet solution,8,"Guzman, Gomez and Coleman",435.41,112
150,Synergistic non-volatile contingency,5,"Martinez, Richardson and Miller",139.95,147
151,Smartphone Ultra,12,LG,6.28,146
152,Open-source high-level standardization,19,Christian-Finley,130.83,153
153,Jacket,27,H&M,498.5,772
154,Jacket,2,H&M,445.33,721
155,De-engineered system-worthy product,17,Crawford-Davis,372.98,623
156,Inverse logistical collaboration,15,Smith-Davidson,184.73,662
157,Headphones,12,LG,47.65,526
158,Re-contextualized asymmetric utilization,16,Walker Group,10.63,846
159,Optional methodical Graphical User Interface,9,Irwin Ltd,216.07,683
160,Headphones Ultra,18,Apple,446.84,477
161,Sharable encompassing attitude,8,Owens Ltd,285.73,633
162,Robust needs-based secured line,9,"Ramirez, Green and Wilson",151.09,222
163,Enterprise-wide bi-directional database,16,Myers-White,157.24,176
164,Laptop Pro,11,Sony,472.44,820
165,Customer-focused 3rdgeneration groupware,9,Whitehead Ltd,274.2,529
166,Laptop Ultra,18,Sony,189.22,207
167,Cloned secondary parallelism,20,Benson LLC,490.33,263
168,Team-oriented leadingedge info-mediaries,4,Mason Inc,408.39,680
169,Ameliorated dynamic budgetary management,6,Reed PLC,401.7,28
170,Smartphone,11,Apple,266.9,446
171,Realigned 24hour moratorium,6,Garcia-Beltran,313.51,250
172,Expanded intermediate throughput,25,Alvarez Group,410.2,843
173,Versatile asynchronous neural-net,4,Mills Inc,180.69,147
174,De-engineered bifurcated function,19,"Thomas, Davenport and Brock",436.13,636
175,Dress,23,Adidas,111.36,361
176,Jacket,27,Adidas,252.02,299
177,Inverse logistical workforce,21,Patterson Inc,9.6,429
178,Secured cohesive encoding,4,Johnson-Mason,79.62,738
179,Sharable encompassing encryption,17,Arnold Inc,33.97,191
180,Grass-roots mission-critical budgetary management,14,Griffith-Fox,42.86,769
181,Implemented didactic projection,14,Cantu-Wilson,308.65,641
182,Total cohesive forecast,3,Chavez-Chapman,479.75,129
183,TV Max,11,Apple,156.75,108
184,Advanced global Internet solution,15,Small-Hartman,27.28,831
185,Expanded stable pricing structure,28,Sawyer-Williams,90.03,529
186,Digitized uniform help-desk,7,Bell-Jones,228.79,146
187,Operative logistical data-warehouse,20,Gill and Sons,495.72,591
188,Persistent homogeneous productivity,21,Guzman PLC,316.34,405
189,Enhanced grid-enabled database,16,Brooks-Nguyen,266.77,63
190,Smartphone,1,LG,174.93,313
191,Multi-layered systemic structure,20,Mann LLC,112.82,735
192,Expanded eco-centric artificial intelligence,17,"Bautista, Garcia and Wilson",389.03,397
193,Enterprise-wide explicit capability,20,Flores-Castro,361.64,978
194,Decentralized neutral success,24,"Williams, Williams and Reyes",398.01,82
195,Implemented uniform service-desk,24,Patel-Kim,352.42,218
196,Future-proofed motivating toolset,28,Paul-Parrish,499.87,809
197,Smartphone Max,18,Apple,71.02,584
198,Triple-buffered multi-tasking contingency,21,Terry-Torres,126.75,610
199,Jeans,13,Nike,159.41,602
200,Smartphone Ultra,12,LG,133.04,751
201,Advanced zero-defect function,25,"Greene, Jackson and Gomez",287.57,495
202,Laptop,1,Samsung,29.41,701
203,Customizable modular intranet,21,Hall Inc,67.18,347
204,Fundamental fresh-thinking migration,21,Olson LLC,274.85,912
205,Intuitive hybrid Local Area Network,21,Wyatt-Chambers,310.79,205
206,Horizontal next generation artificial intelligence,26,Lloyd Ltd,408.67,315
207,Realigned executive flexibility,16,"Fischer, Rhodes and Wolfe",62.28,359
208,Customizable interactive system engine,9,Pittman Inc,433.28,299
209,Smartphone Ultra,18,Sony,201.14,448
210,Implemented real-time architecture,20,Davis Group,472.46,594
211,Jeans,23,H&M,474.23,424
212,Switchable heuristic interface,6,Wright-Mccullough,373.76,390
213,Distributed multi-state time-frame,15,Fox and Sons,170.78,541
214,Cross-group system-worthy architecture,14,Walker Ltd,94.35,834
215,Devolved 24hour time-frame,28,Davies Inc,56.37,100
216,Centralized 5thgeneration capability,6,"Ramos, Gibson and Griffin",239.48,278
217,Innovative real-time budgetary management,25,Garcia Group,497.37,783
218,Seamless holistic orchestration,14,"Sullivan, King and Morse",117.7,808
219,Total object-oriented artificial intelligence,21,Arnold-Salinas,239.17,928
220,Up-sized motivating project,15,"Flowers, Gray and Martin",160.4,930
221,Self-enabling fresh-thinking encryption,15,Yates-Dudley,357.6,871
222,Jacket,13,Nike,425.53,553
223,Up-sized contextually-based Internet solution,10,Hopkins and Sons,463.51,228
224,T-Shirt,2,Nike,70.17,526
225,Laptop Max,18,Apple,251.51,565
226,Multi-tiered motivating leverage,25,"Knight, Jennings and Wilson",474.7,377
227,Function-based bifurcated core,14,Juarez-Wagner,368.18,469
228,Reactive value-added project,4,Larson-Moore,184.13,851
229,Diverse homogeneous function,15,Wall and Sons,432.46,275
230,Open-architected explicit installation,24,Gonzalez Inc,461.91,39
231,Multi-layered cohesive matrix,14,Murray-Andrews,29.92,518
232,Multi-lateral homogeneous encoding,6,Glover PLC,206.39,264
233,Versatile demand-driven hierarchy,26,Nichols PLC,132.29,943
234,Headphones,11,LG,296.47,344
235,Dress,13,Levi's,125.07,310
236,T-Shirt,2,Levi's,94.09,382
237,Jeans,27,Nike,362.06,345
238,Profound motivating intranet,10,Sims-Harris,351.9,975
239,Secured 24/7 algorithm,4,"King, Martinez and Dudley",312.83,449
240,Multi-layered responsive array,3,Mcmillan-Quinn,34.92,562
241,Right-sized hybrid Local Area Network,24,Rowe Inc,410.42,76
242,Team-oriented impactful process improvement,4,Vang Inc,177.56,93
243,Intuitive scalable groupware,7,Brown and Sons,211.89,886
244,Profound mobile complexity,17,Perez-Hill,143.95,304
245,T-Shirt,2,H&M,363.6,206
246,Laptop Max,11,LG,181.54,27
247,Enterprise-wide dedicated intranet,10,"Hernandez, Smith and Hall",307.33,96
248,Pre-emptive 3rdgeneration model,20,"Norris, Snyder and Martinez",70.89,802
249,Organic coherent benchmark,20,Sandoval Group,462.25,833
250,Operative analyzing forecast,9,Montoya Group,225.13,174
251,Re-contextualized system-worthy approach,14,"Williams, Solis and Gutierrez",132.73,307
252,T-Shirt,2,Adidas,77.5,433
253,Organized transitional approach,5,Jackson-Sanchez,193.89,492
254,Jacket,27,Levi's,8.47,167
255,Right-sized transitional interface,25,Mcclain-Johnson,36.16,57
256,Ergonomic tangible secured line,26,"Johnson, Sanchez and Wilson",165.94,739
257,Pre-emptive next generation open architecture,25,"Barnett, Stevenson and Whitehead",140.78,515
