review_id,customer_id,product_id,rating,comment,review_date
1,236,373,4,Highly recommend! Excellent quality.,2023-07-01
2,608,636,3,"Good product overall, but has some minor issues.",2023-06-30
3,260,1065,5,Perfect in every way. Worth every penny!,2023-05-10
4,784,576,1,Poor quality and doesn't work as described.,2023-10-02
5,801,986,5,Absolutely love it! Exceeded my expectations.,2023-03-15
6,761,1010,5,Absolutely love it! Exceeded my expectations.,2023-02-17
7,406,877,4,Highly recommend! Excellent quality.,2023-10-29
8,848,162,4,Absolutely love it! Exceeded my expectations.,2023-11-13
9,844,77,4,Perfect in every way. Worth every penny!,2023-04-25
10,357,1149,4,Highly recommend! Excellent quality.,2023-01-06
11,665,981,3,"Works as expected, nothing special though.",2023-10-19
12,440,1146,2,Poor quality and doesn't work as described.,2023-01-06
13,675,850,4,Highly recommend! Excellent quality.,2023-01-05
14,280,1269,3,"Good product overall, but has some minor issues.",2023-12-18
15,462,775,3,"Good product overall, but has some minor issues.",2023-01-03
16,746,765,2,Very disappointed with this purchase.,2023-02-15
17,722,441,5,Perfect in every way. Worth every penny!,2023-12-14
18,411,994,5,Perfect in every way. Worth every penny!,2023-05-07
19,448,783,3,"Works as expected, nothing special though.",2023-12-30
20,566,856,5,Perfect in every way. Worth every penny!,2023-07-19
21,786,1229,3,"Works as expected, nothing special though.",2023-12-15
22,260,594,3,"Works as expected, nothing special though.",2023-02-14
23,154,824,3,"Works as expected, nothing special though.",2023-05-16
24,667,207,3,"Works as expected, nothing special though.",2023-10-26
25,124,734,2,Poor quality and doesn't work as described.,2023-02-25
26,622,799,5,Absolutely love it! Exceeded my expectations.,2023-05-06
27,273,1121,4,Perfect in every way. Worth every penny!,2023-08-23
28,857,630,4,Highly recommend! Excellent quality.,2023-01-14
29,965,1373,1,Very disappointed with this purchase.,2023-08-07
30,141,1198,2,Very disappointed with this purchase.,2023-04-30
31,903,847,4,Perfect in every way. Worth every penny!,2023-03-04
32,343,201,5,Absolutely love it! Exceeded my expectations.,2023-03-03
33,107,1255,4,Perfect in every way. Worth every penny!,2023-12-22
34,61,1196,3,"Works as expected, nothing special though.",2023-12-24
35,494,1132,2,Very disappointed with this purchase.,2023-11-09
36,47,1347,4,Perfect in every way. Worth every penny!,2023-03-18
37,216,145,5,Perfect in every way. Worth every penny!,2023-02-20
38,663,1124,3,"Good product overall, but has some minor issues.",2023-10-21
39,561,291,4,Absolutely love it! Exceeded my expectations.,2023-08-01
40,402,134,4,Perfect in every way. Worth every penny!,2023-09-28
41,526,562,4,Perfect in every way. Worth every penny!,2023-05-24
42,245,1225,5,Perfect in every way. Worth every penny!,2023-08-01
43,230,774,5,Perfect in every way. Worth every penny!,2023-07-18
44,776,1314,5,Highly recommend! Excellent quality.,2023-03-05
45,811,30,4,Highly recommend! Excellent quality.,2023-08-08
46,970,77,4,Highly recommend! Excellent quality.,2023-02-27
47,429,731,5,Perfect in every way. Worth every penny!,2023-11-03
48,535,1077,4,Highly recommend! Excellent quality.,2023-01-05
49,686,261,5,Perfect in every way. Worth every penny!,2023-07-14
50,935,1333,3,"Works as expected, nothing special though.",2023-05-24
51,133,906,5,Highly recommend! Excellent quality.,2023-10-10
52,63,714,3,"Works as expected, nothing special though.",2023-05-08
53,170,365,3,"Good product overall, but has some minor issues.",2023-11-14
54,519,1150,3,"Works as expected, nothing special though.",2023-08-16
55,393,712,3,"Works as expected, nothing special though.",2023-06-20
56,509,334,3,"Good product overall, but has some minor issues.",2023-10-07
57,808,161,3,"Works as expected, nothing special though.",2023-03-23
58,203,1018,3,"Works as expected, nothing special though.",2023-12-14
59,717,994,5,Perfect in every way. Worth every penny!,2023-02-11
60,786,999,4,Perfect in every way. Worth every penny!,2023-11-07
61,953,815,4,Perfect in every way. Worth every penny!,2023-11-27
62,138,381,5,Absolutely love it! Exceeded my expectations.,2023-02-16
63,203,1295,4,Highly recommend! Excellent quality.,2023-11-07
64,899,888,2,Poor quality and doesn't work as described.,2023-11-24
65,22,1119,2,Very disappointed with this purchase.,2023-10-27
66,419,508,1,Very disappointed with this purchase.,2023-09-24
67,671,834,4,Highly recommend! Excellent quality.,2023-11-01
68,724,832,4,Absolutely love it! Exceeded my expectations.,2023-05-18
69,569,824,4,Highly recommend! Excellent quality.,2023-11-25
70,771,131,3,"Good product overall, but has some minor issues.",2023-07-12
71,242,1011,4,Highly recommend! Excellent quality.,2023-10-09
72,326,812,5,Absolutely love it! Exceeded my expectations.,2023-07-15
73,853,274,4,Perfect in every way. Worth every penny!,2023-01-29
74,819,697,4,Perfect in every way. Worth every penny!,2023-10-10
75,644,1201,3,"Works as expected, nothing special though.",2023-12-28
76,805,766,3,"Works as expected, nothing special though.",2023-09-14
77,259,489,5,Highly recommend! Excellent quality.,2023-11-10
78,104,622,4,Absolutely love it! Exceeded my expectations.,2023-05-29
79,970,82,2,Very disappointed with this purchase.,2023-09-07
80,156,1095,5,Absolutely love it! Exceeded my expectations.,2023-04-07
81,173,202,4,Absolutely love it! Exceeded my expectations.,2023-01-26
82,539,1168,4,Perfect in every way. Worth every penny!,2023-05-23
83,46,1160,1,Very disappointed with this purchase.,2023-08-18
84,907,1100,4,Absolutely love it! Exceeded my expectations.,2023-02-19
85,29,711,3,"Works as expected, nothing special though.",2023-09-01
86,832,581,4,Perfect in every way. Worth every penny!,2023-07-06
87,70,254,3,"Works as expected, nothing special though.",2023-01-27
88,570,507,2,Poor quality and doesn't work as described.,2023-11-30
89,447,409,1,Very disappointed with this purchase.,2023-06-03
90,8,407,5,Absolutely love it! Exceeded my expectations.,2023-06-14
91,180,542,5,Perfect in every way. Worth every penny!,2023-02-25
92,374,1185,2,Poor quality and doesn't work as described.,2023-06-24
93,413,1142,1,Very disappointed with this purchase.,2023-06-07
94,738,884,5,Perfect in every way. Worth every penny!,2023-09-13
95,242,858,5,Absolutely love it! Exceeded my expectations.,2023-09-03
96,700,829,3,"Works as expected, nothing special though.",2023-09-09
97,736,1358,4,Absolutely love it! Exceeded my expectations.,2023-05-29
98,766,44,3,"Works as expected, nothing special though.",2023-10-03
99,448,534,4,Perfect in every way. Worth every penny!,2023-01-10
100,732,735,4,Absolutely love it! Exceeded my expectations.,2023-04-26
101,766,390,5,Highly recommend! Excellent quality.,2023-08-20
102,230,737,1,Very disappointed with this purchase.,2023-10-16
103,831,221,5,Absolutely love it! Exceeded my expectations.,2023-01-31
104,321,636,3,"Works as expected, nothing special though.",2023-05-18
105,15,747,3,"Works as expected, nothing special though.",2023-10-29
106,898,1024,3,"Good product overall, but has some minor issues.",2023-11-25
107,815,499,4,Perfect in every way. Worth every penny!,2023-09-16
108,8,912,5,Absolutely love it! Exceeded my expectations.,2023-07-25
109,682,557,4,Absolutely love it! Exceeded my expectations.,2023-09-06
110,704,253,1,Very disappointed with this purchase.,2023-12-09
111,982,273,2,Poor quality and doesn't work as described.,2023-06-20
112,431,402,5,Absolutely love it! Exceeded my expectations.,2023-06-30
113,278,383,3,"Works as expected, nothing special though.",2023-09-23
114,238,1030,2,Very disappointed with this purchase.,2023-12-27
115,106,368,2,Very disappointed with this purchase.,2023-12-21
116,593,1132,3,"Works as expected, nothing special though.",2023-02-01
117,154,1134,5,Perfect in every way. Worth every penny!,2023-07-09
118,961,320,5,Highly recommend! Excellent quality.,2023-03-28
119,944,1122,2,Very disappointed with this purchase.,2023-01-21
120,952,938,3,"Good product overall, but has some minor issues.",2023-09-30
121,779,851,2,Very disappointed with this purchase.,2023-04-08
122,274,1111,5,Highly recommend! Excellent quality.,2023-08-04
123,113,772,4,Absolutely love it! Exceeded my expectations.,2023-10-14
124,169,275,5,Perfect in every way. Worth every penny!,2023-06-15
125,92,762,5,Absolutely love it! Exceeded my expectations.,2023-07-21
126,429,396,4,Highly recommend! Excellent quality.,2023-11-08
127,682,669,3,"Works as expected, nothing special though.",2023-11-24
128,884,143,5,Highly recommend! Excellent quality.,2023-03-08
129,749,1057,4,Highly recommend! Excellent quality.,2023-10-10
130,758,656,5,Absolutely love it! Exceeded my expectations.,2023-09-06
131,342,1262,5,Absolutely love it! Exceeded my expectations.,2023-10-30
132,691,165,4,Highly recommend! Excellent quality.,2023-10-20
133,91,1268,5,Perfect in every way. Worth every penny!,2023-07-12
134,733,1252,4,Highly recommend! Excellent quality.,2023-03-23
135,321,278,3,"Good product overall, but has some minor issues.",2023-08-08
136,539,362,3,"Good product overall, but has some minor issues.",2023-09-12
137,551,136,4,Perfect in every way. Worth every penny!,2023-07-13
138,38,734,5,Absolutely love it! Exceeded my expectations.,2023-08-20
139,464,1034,2,Very disappointed with this purchase.,2023-10-06
140,893,827,3,"Works as expected, nothing special though.",2023-09-04
141,786,4,5,Perfect in every way. Worth every penny!,2023-06-20
142,342,184,3,"Works as expected, nothing special though.",2023-01-29
143,907,506,5,Absolutely love it! Exceeded my expectations.,2023-12-26
144,742,543,5,Perfect in every way. Worth every penny!,2023-04-26
145,843,805,1,Poor quality and doesn't work as described.,2023-04-04
146,873,167,3,"Good product overall, but has some minor issues.",2023-11-08
147,236,137,4,Absolutely love it! Exceeded my expectations.,2023-01-27
148,218,1150,5,Highly recommend! Excellent quality.,2023-01-30
149,597,304,4,Highly recommend! Excellent quality.,2023-02-21
150,95,1339,5,Highly recommend! Excellent quality.,2023-02-08
151,650,932,2,Poor quality and doesn't work as described.,2023-08-07
152,538,53,3,"Works as expected, nothing special though.",2023-04-26
153,172,186,3,"Good product overall, but has some minor issues.",2023-02-06
154,301,743,4,Highly recommend! Excellent quality.,2023-07-22
155,649,59,4,Perfect in every way. Worth every penny!,2023-10-05
156,990,1132,5,Perfect in every way. Worth every penny!,2023-07-18
157,152,116,2,Very disappointed with this purchase.,2023-01-09
158,828,575,4,Highly recommend! Excellent quality.,2023-05-03
159,296,409,3,"Good product overall, but has some minor issues.",2023-02-20
160,306,78,4,Highly recommend! Excellent quality.,2023-09-14
161,448,504,3,"Works as expected, nothing special though.",2023-05-11
162,617,950,5,Perfect in every way. Worth every penny!,2023-01-20
163,161,349,4,Absolutely love it! Exceeded my expectations.,2023-03-19
164,245,328,5,Absolutely love it! Exceeded my expectations.,2023-10-30
165,515,851,4,Highly recommend! Excellent quality.,2023-09-22
166,247,408,2,Very disappointed with this purchase.,2023-04-27
167,876,6,3,"Good product overall, but has some minor issues.",2023-02-25
168,956,176,3,"Works as expected, nothing special though.",2023-03-28
169,578,21,3,"Good product overall, but has some minor issues.",2023-05-04
170,739,991,5,Absolutely love it! Exceeded my expectations.,2023-04-04
